2022-10-04 23:11:52,167 - ERROR - Rank 0 | Episode Reward: 9816.94 | Success cnt: 10 | Local Step: 1000 | Global Episode: 618 | Global Worker Step: 618000| Sparsification ratio : 96.920
2022-10-04 23:13:42,717 - ERROR - Rank 0 | Episode Reward: 9825.29 | Success cnt: 10 | Local Step: 1000 | Global Episode: 623 | Global Worker Step: 623000| Sparsification ratio : 95.970
2022-10-04 23:15:32,523 - ERROR - Rank 0 | Episode Reward: 9826.45 | Success cnt: 10 | Local Step: 1000 | Global Episode: 628 | Global Worker Step: 628000| Sparsification ratio : 96.463
2022-10-04 23:17:22,691 - ERROR - Rank 0 | Episode Reward: 9797.69 | Success cnt: 10 | Local Step: 1000 | Global Episode: 633 | Global Worker Step: 633000| Sparsification ratio : 96.857
2022-10-04 23:19:12,620 - ERROR - Rank 0 | Episode Reward: 9850.37 | Success cnt: 10 | Local Step: 1000 | Global Episode: 637 | Global Worker Step: 637000| Sparsification ratio : 97.074
2022-10-04 23:21:03,941 - ERROR - Rank 0 | Episode Reward: 9831.66 | Success cnt: 10 | Local Step: 1000 | Global Episode: 642 | Global Worker Step: 642000| Sparsification ratio : 96.207
2022-10-04 23:22:52,814 - ERROR - Rank 0 | Episode Reward: 9381.07 | Success cnt: 10 | Local Step: 1000 | Global Episode: 647 | Global Worker Step: 647000| Sparsification ratio : 96.971
2022-10-04 23:24:42,985 - ERROR - Rank 0 | Episode Reward: 9847.35 | Success cnt: 10 | Local Step: 1000 | Global Episode: 652 | Global Worker Step: 652000| Sparsification ratio : 96.615
2022-10-04 23:26:31,674 - ERROR - Rank 0 | Episode Reward: 9205.41 | Success cnt: 10 | Local Step: 1000 | Global Episode: 657 | Global Worker Step: 657000| Sparsification ratio : 96.483
2022-10-04 23:28:23,378 - ERROR - Rank 0 | Episode Reward: 9837.46 | Success cnt: 10 | Local Step: 1000 | Global Episode: 661 | Global Worker Step: 661000| Sparsification ratio : 96.304
2022-10-04 23:30:12,931 - ERROR - Rank 0 | Episode Reward: 9893.05 | Success cnt: 10 | Local Step: 1000 | Global Episode: 666 | Global Worker Step: 666000| Sparsification ratio : 96.586
2022-10-04 23:32:02,559 - ERROR - Rank 0 | Episode Reward: 9860.49 | Success cnt: 10 | Local Step: 1000 | Global Episode: 671 | Global Worker Step: 671000| Sparsification ratio : 96.758
2022-10-04 23:33:51,321 - ERROR - Rank 0 | Episode Reward: 9356.50 | Success cnt: 10 | Local Step: 1000 | Global Episode: 676 | Global Worker Step: 676000| Sparsification ratio : 96.660
